null_limit,korelation_limit,missing_cat,insert_day,insert_Rainfall,tail_len,len_df,norma
0.43,0.87,mode,0,0,2.5,77673,0.48250348169025115
0.43,0.87,mode,1,1,1.5,71790,0.43620532881397905
0.43,0.87,mode,1,1,1.75,74400,0.44487721934276625
0.43,0.87,mode,1,1,2.0,76084,0.44593484513179177
0.43,0.87,mode,1,1,2.25,77001,0.46675629705229293
0.43,0.87,mode,1,1,2.5,77673,0.48250348169025115
0.43,0.87,mode,1,0,1.5,71790,0.43620532881397905
0.43,0.87,mode,1,0,1.75,74400,0.44487721934276625
0.43,0.87,mode,1,0,2.0,76084,0.44593484513179177
0.43,0.87,mode,1,0,2.25,77001,0.46675629705229293
0.43,0.87,mode,1,0,2.5,77673,0.48250348169025115
0.43,0.73,mode,0,1,1.5,71805,0.42818523093147054
0.43,0.73,mode,0,1,1.75,74403,0.4383166426298931
0.43,0.73,mode,0,1,2.0,76087,0.4540408122590654
0.43,0.73,mode,0,1,2.25,77004,0.457887737769683
0.43,0.73,mode,0,1,2.5,77676,0.46595990565987383
0.43,0.73,mode,0,0,1.5,71805,0.42818523093147054
0.43,0.73,mode,0,0,1.75,74403,0.4383166426298931
0.43,0.73,mode,0,0,2.0,76087,0.4540408122590654
0.43,0.73,mode,0,0,2.25,77004,0.457887737769683
0.43,0.73,mode,0,0,2.5,77676,0.46595990565987383
0.43,0.73,mode,1,1,1.5,71805,0.42818523093147054
0.43,0.73,mode,1,1,1.75,74403,0.4383166426298931
0.43,0.73,mode,1,1,2.0,76087,0.4540408122590654
0.43,0.73,mode,1,1,2.25,77004,0.457887737769683
0.43,0.73,mode,1,1,2.5,77676,0.46595990565987383
0.43,0.73,mode,1,0,1.5,71805,0.42818523093147054
0.43,0.73,mode,1,0,1.75,74403,0.4383166426298931
0.43,0.73,mode,1,0,2.0,76087,0.4540408122590654
0.43,0.73,mode,1,0,2.25,77004,0.457887737769683
0.43,0.73,mode,1,0,2.5,77676,0.46595990565987383
0.43,0.68,mode,0,1,1.5,75004,0.3676264467839578
0.43,0.68,mode,0,1,1.75,77516,0.38601850945498795
0.43,0.68,mode,0,1,2.0,79061,0.36844220697113483
0.43,0.68,mode,0,1,2.25,79944,0.40866148154932197
0.43,0.68,mode,0,1,2.5,80579,0.4003148291686056
0.43,0.68,mode,0,0,1.5,75004,0.3676264467839578
0.43,0.68,mode,0,0,1.75,77516,0.38601850945498795
0.43,0.68,mode,0,0,2.0,79061,0.36844220697113483
0.43,0.68,mode,0,0,2.25,79944,0.40866148154932197
0.43,0.68,mode,0,0,2.5,80579,0.4003148291686056
0.43,0.68,mode,1,1,1.5,75004,0.3676264467839578
0.43,0.68,mode,1,1,1.75,77516,0.38601850945498795
0.43,0.68,mode,1,1,2.0,79061,0.36844220697113483
0.43,0.68,mode,1,1,2.25,79944,0.40866148154932197
0.43,0.68,mode,1,1,2.5,80579,0.4003148291686056
0.43,0.68,mode,1,0,1.5,75004,0.3676264467839578
0.43,0.68,mode,1,0,1.75,77516,0.38601850945498795
0.43,0.68,mode,1,0,2.0,79061,0.36844220697113483
0.43,0.68,mode,1,0,2.25,79944,0.40866148154932197
0.43,0.68,mode,1,0,2.5,80579,0.4003148291686056
0.43,0.66,mode,0,1,1.5,75000,0.1681113640719022
0.43,0.66,mode,0,1,1.75,77512,0.18305763184401364
0.43,0.66,mode,0,1,2.0,79056,0.19351430504712458
0.43,0.66,mode,0,1,2.25,79939,0.19390106914271482
0.43,0.66,mode,0,1,2.5,80574,0.20101469563246968
0.43,0.66,mode,0,0,1.5,75000,0.1681113640719022
0.43,0.66,mode,0,0,1.75,77512,0.18305763184401364
0.43,0.66,mode,0,0,2.0,79056,0.19351430504712458
0.43,0.66,mode,0,0,2.25,79939,0.19390106914271482
0.43,0.66,mode,0,0,2.5,80574,0.20101469563246968
0.43,0.66,mode,1,1,1.5,75000,0.1681113640719022
0.43,0.66,mode,1,1,1.75,77512,0.18305763184401364
0.43,0.66,mode,1,1,2.0,79056,0.19351430504712458
0.43,0.66,mode,1,1,2.25,79939,0.19390106914271482
0.43,0.66,mode,1,1,2.5,80574,0.20101469563246968
0.43,0.66,mode,1,0,1.5,75000,0.1681113640719022
0.43,0.66,mode,1,0,1.75,77512,0.18305763184401364
0.43,0.66,mode,1,0,2.0,79056,0.19351430504712458
0.43,0.66,mode,1,0,2.25,79939,0.19390106914271482
0.43,0.66,mode,1,0,2.5,80574,0.20101469563246968
0.47,0.87,mode,0,1,1.5,54967,0.4805092920548107
0.47,0.87,mode,0,1,1.75,57224,0.4536561573574534
0.47,0.87,mode,0,1,2.0,58746,0.5008269521644914
0.47,0.87,mode,0,1,2.25,59592,0.5280188954598479
0.47,0.87,mode,0,1,2.5,60247,0.4991771525914411
0.47,0.87,mode,0,0,1.5,54967,0.4805092920548107
0.47,0.87,mode,0,0,1.75,57224,0.4536561573574534
0.47,0.87,mode,0,0,2.0,58746,0.5008269521644914
0.47,0.87,mode,0,0,2.25,59592,0.5280188954598479
0.47,0.87,mode,0,0,2.5,60247,0.4991771525914411
0.47,0.87,mode,1,1,1.5,54967,0.4805092920548107
0.47,0.87,mode,1,1,1.75,57224,0.4536561573574534
0.47,0.87,mode,1,1,2.0,58746,0.5008269521644914
0.47,0.87,mode,1,1,2.25,59592,0.5280188954598479
0.47,0.87,mode,1,1,2.5,60247,0.4991771525914411
0.47,0.87,mode,1,0,1.5,54967,0.4805092920548107
0.47,0.87,mode,1,0,1.75,57224,0.4536561573574534
0.47,0.87,mode,1,0,2.0,58746,0.5008269521644914
0.47,0.87,mode,1,0,2.25,59592,0.5280188954598479
0.47,0.87,mode,1,0,2.5,60247,0.4991771525914411
0.47,0.73,mode,0,1,1.5,54974,0.4956441052475657
0.47,0.73,mode,0,1,1.75,57226,0.49202681029064355
0.47,0.73,mode,0,1,2.0,58748,0.5178638045331144
0.47,0.73,mode,0,1,2.25,59594,0.5421915240472088
0.47,0.73,mode,0,1,2.5,60249,0.5224938284573769
0.47,0.73,mode,0,0,1.5,54974,0.4956441052475657
0.47,0.73,mode,0,0,1.75,57226,0.49202681029064355
0.47,0.73,mode,0,0,2.0,58748,0.5178638045331144
0.47,0.73,mode,0,0,2.25,59594,0.5421915240472088
0.47,0.73,mode,0,0,2.5,60249,0.5224938284573769
0.47,0.73,mode,1,1,1.5,54974,0.4956441052475657
0.47,0.73,mode,1,1,1.75,57226,0.49202681029064355
0.47,0.73,mode,1,1,2.0,58748,0.5178638045331144
0.47,0.73,mode,1,1,2.25,59594,0.5421915240472088
0.47,0.73,mode,1,1,2.5,60249,0.5224938284573769
0.47,0.73,mode,1,0,1.5,54974,0.4956441052475657
0.47,0.73,mode,1,0,1.75,57226,0.49202681029064355
0.47,0.73,mode,1,0,2.0,58748,0.5178638045331144
0.47,0.73,mode,1,0,2.25,59594,0.5421915240472088
0.47,0.73,mode,1,0,2.5,60249,0.5224938284573769
0.47,0.68,mode,0,1,1.5,57900,0.4214908148845973
0.47,0.68,mode,0,1,1.75,60111,0.40962501224219644
0.47,0.68,mode,0,1,2.0,61567,0.41806321095881394
0.47,0.68,mode,0,1,2.25,62392,0.4441343419823941
0.47,0.68,mode,0,1,2.5,63031,0.4422001805069184
0.47,0.68,mode,0,0,1.5,57900,0.4214908148845973
0.47,0.68,mode,0,0,1.75,60111,0.40962501224219644
0.47,0.68,mode,0,0,2.0,61567,0.41806321095881394
0.47,0.68,mode,0,0,2.25,62392,0.4441343419823941
0.47,0.68,mode,0,0,2.5,63031,0.4422001805069184
0.47,0.68,mode,1,1,1.5,57900,0.4214908148845973
0.47,0.68,mode,1,1,1.75,60111,0.40962501224219644
0.47,0.68,mode,1,1,2.0,61567,0.41806321095881394
0.47,0.68,mode,1,1,2.25,62392,0.4441343419823941
0.47,0.68,mode,1,1,2.5,63031,0.4422001805069184
0.47,0.68,mode,1,0,1.5,57900,0.4214908148845973
0.47,0.68,mode,1,0,1.75,60111,0.40962501224219644
0.47,0.68,mode,1,0,2.0,61567,0.41806321095881394
0.47,0.68,mode,1,0,2.25,62392,0.4441343419823941
0.47,0.68,mode,1,0,2.5,63031,0.4422001805069184
0.47,0.66,mode,0,1,1.5,57899,0.20703499780876602
0.47,0.66,mode,0,1,1.75,60110,0.21462328237390554
0.47,0.66,mode,0,1,2.0,61566,0.22243190847902936
0.47,0.66,mode,0,1,2.25,62391,0.2172936963428946
0.47,0.66,mode,0,1,2.5,63030,0.23196134429715765
0.47,0.66,mode,0,0,1.5,57899,0.20703499780876602
0.47,0.66,mode,0,0,1.75,60110,0.21462328237390554
0.47,0.66,mode,0,0,2.0,61566,0.22243190847902936
0.47,0.66,mode,0,0,2.25,62391,0.2172936963428946
0.47,0.66,mode,0,0,2.5,63030,0.23196134429715765
0.47,0.66,mode,1,1,1.5,57899,0.20703499780876602
0.47,0.66,mode,1,1,1.75,60110,0.21462328237390554
0.47,0.66,mode,1,1,2.0,61566,0.22243190847902936
0.47,0.66,mode,1,1,2.25,62391,0.2172936963428946
0.47,0.66,mode,1,1,2.5,63030,0.23196134429715765
0.47,0.66,mode,1,0,1.5,57899,0.20703499780876602
0.47,0.66,mode,1,0,1.75,60110,0.21462328237390554
0.47,0.66,mode,1,0,2.0,61566,0.22243190847902936
0.47,0.66,mode,1,0,2.25,62391,0.2172936963428946
0.47,0.66,mode,1,0,2.5,63030,0.23196134429715765
